dcterms_created,ldp_contains,fedora_hasParent,dc_subject,fedora_created,dcterms_isPartOf,fedora_writable,dc_creator,tamudigital_local/details,fedora_createdBy,fedora_lastModifiedBy,dc_format,dc_title,dc_type,dc_rights,dcterms_type,dcterms_spatial,fedora_lastModified,dcterms_extent,dc_description,dc_abstract,files,dc_publisher
1925?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/22/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/22/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Ursulines|Texas--Bryan|Catholic schools|School buildings,2021-07-08T21:15:52.224000+00:00,Bryan Scenes,false,White Rose Studio and Gift Shop,Picture Files Bryan Early-1986 #28,fedoraAdmin,fedoraAdmin,reformatted digital,[Villa Maria Ursuline Academy],Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:15:52.224000+00:00,1 photograph; 12 x 17 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Photograph of the Villa Maria Ursuline Academy, located at 2400 Osborn Ln. The academy was opened in 1901 and closed in 1929.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/22/pages/page_0/files/bryanscene28.tif,
1912?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/14/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/14/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Theaters|Texas--Bryan,2021-07-08T21:13:58.955000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #17,fedoraAdmin,fedoraAdmin,reformatted digital,"Opera House, Bryan, Tex.",Postcards,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-13T23:13:27.220000+00:00,1 postcard; 9 x 14 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","The Opera House, later called the Palace Theater, was built in 1910. The theater's roof collapsed in 1987, in the early 1990s the Lyle Lovett used the stage as the setting for his music video to ""This Old Porch."" The city renovated the site in the late 1990s to become the outdoor venue it is today.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/14/pages/page_0/files/bryanscene17.tif,E.C. Kropp Co.
1900?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/21/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/21/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Stone buildings|Texas--Bryan,2021-07-08T21:15:37.897000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #27,fedoraAdmin,fedoraAdmin,reformatted digital,[Unidentified building with with horse in foreground and houses in background],Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:15:37.897000+00:00,1 photograph; 10 x 12 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.",Photograph of unidentified building with a horse in the foreground and houses in the background. Building has two floors and an attic. Building is apparently made of rough hewed stone blocks and features a widow's watch.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/21/pages/page_0/files/bryanscene27.tif,
1922?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/27/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/27/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Texas--Bryan|Central business districts,2021-07-08T21:17:08.010000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #50,fedoraAdmin,fedoraAdmin,reformatted digital,"[Main Street, Bryan, Looking west]",Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:17:08.010000+00:00,1 photograph; 8 x 12 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.",Photograph taken looking west down Main Street.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/27/pages/page_0/files/bryanscene50.tif,
1935?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/13/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/13/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,"Texas--Bryan|Austin High School (Austin, Tex.)|School buildings",2021-07-08T21:13:44.887000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #14,fedoraAdmin,fedoraAdmin,reformatted digital,"Bryan High School, Bryan, Texas.",Postcards,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:13:44.887000+00:00,1 postcard; 9 x 14 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Stephen F. Austin High School was located on Baker Street, Fannin Elementary sits on the site today.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/13/pages/page_0/files/bryanscene14.tif,Auburn Post Card Mfg. Co.
1919,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/5/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/5/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Texas--Bryan|Central business districts|Armistice Day|Agricultural and Mechanical College of Texas. Corps of Cadets,2021-07-08T21:17:36.339000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #6,fedoraAdmin,fedoraAdmin,reformatted digital,"[TAMC Corps March on Armistice Day, Main Street, Bryan]",Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:17:36.339000+00:00,"1 photograph; 11 x 15 cm, mounted on sheet 13 x 18 cm","Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Texas A and M College Corps of Cadets marching down Main Street, Bryan in honor of Armistice Day. David Reid Groceries and Market can be seen in the background.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/5/pages/page_0/files/bryanscene6.tif,
1925?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/19/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/19/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,"Astin, Nina|Texas--Bryan|Homes|Mansions|Astin, R. Q.",2021-07-08T21:15:10.186000+00:00,Bryan Scenes,false,White Rose Studio and Gift Shop,Picture Files Bryan Early-1986 #25,fedoraAdmin,fedoraAdmin,reformatted digital,[Residence of Mrs. R.Q. Astin],Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:15:10.186000+00:00,1 photograph; 13 x 18 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Photograph of the residence of Nina Astin, built for her built by husband Roger Q. Astin, today known simply as the Astin Mansion. The mansion was designed by architect Hal B. Thompson.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/19/pages/page_0/files/bryanscene25.tif,
1923?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/4/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/4/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Central business districts|Texas--Bryan,2021-07-08T21:17:22.027000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #5,fedoraAdmin,fedoraAdmin,reformatted digital,"[Main Street, Bryan, looking south]",Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:17:22.027000+00:00,1 photograph; 9 x 15 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Photograph taken looking south on Main Street. The first building in the foreground of the image is the bank and midway down the block in the J.C. Penney Co. The LaSalle Hotel is at the far end of the street, next to the hotel is the Howell Bros. building.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/4/pages/page_0/files/bryanscene5.tif,
1927?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/24/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/24/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Catholic church buildings|Texas--Bryan|Church buildings,2021-07-08T21:16:22.984000+00:00,Bryan Scenes,false,White Rose Studio and Gift Shop,Picture Files Bryan Early-1986 #47,fedoraAdmin,fedoraAdmin,reformatted digital,[St. Anthony's Catholic Church],Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:16:22.984000+00:00,1 photography; 20 x 25 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Photograph of St. Anthony's Catholic Church located at 401 S Parker Ave, Bryan, Texas.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/24/pages/page_0/files/bryanscene34.tif,
1947?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/15/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/15/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Texas--Bryan|Funeral homes,2021-07-08T21:14:13.143000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #18,fedoraAdmin,fedoraAdmin,reformatted digital,Hilliers Funeral Home,Postcards,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Horse-drawn vehicles|Bryan, Texas|Stone buildings",2021-07-08T21:14:13.143000+00:00,"1 postcard, color; 9 x 14 cm","Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","In 1947 Hiller Funeral Home moved to 502 West 26th Street. They provided ambulance, service, and funeral insurance.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/15/pages/page_0/files/bryanscene18.tif,Nationwide Post Card Co.
1925?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/16/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/16/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Texas--Bryan|Central business districts,2021-07-08T21:14:27.151000+00:00,Bryan Scenes,false,,Picture Files Bryan Early-1986 #19,fedoraAdmin,fedoraAdmin,reformatted digital,"[View looking west down 26th Street, Bryan, Texas]",Photographs,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:14:27.151000+00:00,1 photograph; 14 x 9 cm,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Photograph of 26th Street, looking west from Main Street. Photographe apparently standing a roof.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/16/pages/page_0/files/bryanscene19.tif,
1929?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/9/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/9/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects,Municipal buildings|Texas--Bryan|Parks,2021-07-08T21:18:31.859000+00:00,Bryan Scenes,false,E.C. Kropp Co.,Picture Files Bryan Early-1986 #10,fedoraAdmin,fedoraAdmin,reformatted digital,"Municipal Building and park, Bryan, Texas.",Postcards,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,StillImage,"Bryan, Texas",2021-07-08T21:18:31.859000+00:00,"1 postcard, color; 9 x 14 cm","Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A and M University, College Station, Texas.","Postcard featuring the Bryan Municipal Building, with a park in the foreground and water tower in the background.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/bryan-150_objects/9/pages/page_0/files/bryanscene10.tif,Brazos New Agency
