tamudigital_localcountry,dc_citation,dc_subject,dcterms_URL,dc_creator,fedora_lastModified,ldp_contains,dcterms_created,fedora_lastModifiedBy,fedora_writable,dcterms_otherIdentifier,dcterms_rightsHolder,dcterms_isPartOfSeries,dc_title,dcterms_rightsURI,dcterms_isPartOf,fedora_created,dc_abstract,fedora_createdBy,fedora_hasParent,dc_rights,files,dcterms_abstract
USA,"Lewis Carroll. Alice in Wonderland. Borders Press, 2002", White Rabbit | King of Hearts | Cards | Trial| Queen of Hearts |Alice ,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4702618,Cinzia Ratto,2019-05-13T20:23:22.608000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702618-2002_01/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702618-2002_01/pages,2002,fedoraAdmin,false,4702618,Illustrator,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Off with their heads!,http://rightsstatements.org/page/InC/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:07.334000+00:00,"Ratto is an Italian artist whose illustrations, colorful and charming, have graced a number of children's books besides Alice, including The Wild Swans, Jack and the Beanstalk, and the fairy tales of Oscar Wilde.  Here she has depicted a bemused Alice confronting the angry Queen of Hearts, who has just discovered that three of her gardeners are painting a bush of white roses red.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702618-2002_01/pages/page_0/files/alice-4702618-2002_01.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702618-2002_01/pages/page_0/files/b2/9a/ae/cf/b29aaecf-06d0-41f6-a23b-a0f606fc5229,
England,"Lewis Carroll. Alice's Adventures in Wonderland. Readers Library, 1932",Alice | Mushroom | Flapper,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4718342,Hume Henderson,2019-05-30T18:21:23.971000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4718342-1932_01/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4718342-1932_01/orderProxies,1932,fedoraAdmin,false,4718342,Illustrator,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Alice and the mushroom,http://rightsstatements.org/page/InC-RUU/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:21.610000+00:00,"Henderson's Alice is very much a girl of her time, wearing a flapper dress, with her hair cut in a fashionable bob.  She is eating a bit of mushroom, which will go on to make her neck longer, until she is so tall that she can no longer see her feet.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4718342-1932_01/pages/page_0/files/alice-4718342-1932_01.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4718342-1932_01/pages/page_0/files/fb/52/69/4f/fb52694f-c0d0-4bac-8875-9eced5c7ee4c,
Ireland?,"Lewis Carroll. Alice Aforethought. Arthur Guinness, Sons & Co., 1938", Duchess|Alice ,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4904925,Ralph Gore Antony Groves-Raines,2019-05-13T20:07:04.016000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4904925-1939_01/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4904925-1939_01/orderProxies,1938,fedoraAdmin,false,4904925,Publisher or illustrator? 1938,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Alice with a Flamingo,http://rightsstatements.org/page/InC/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:22.889000+00:00,"The illustrations by Groves-Reines are remarkably similar in style to the classic illustrations by Sir John Tenniel.  Likewise, this story is written remarkably like the original Alice in Wonderland, but with references to Guinness beer throughout.  Here, we see Alice and the Duchess discussing a glass of Guinness that is nearly as tall as they are.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4904925-1939_01/pages/page_0/files/65/c3/a4/16/65c3a416-5994-4744-aec5-cc69393cefab|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4904925-1939_01/pages/page_0/files/alice-4904925-1939_01.tif,
,,,,,2019-04-21T17:28:23.570000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4706911-2008_01/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4706911-2008_01/pages,,fedoraAdmin,false,,,,Alice standing before the jury for the trial of the Knave of Hearts,,,2019-01-10T22:02:13.067000+00:00,,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4706911-2008_01/pages/page_0/files/alice-4706911-2008_01.tif,
Egypt,"Lewis Carroll. Alīs fī bilād al-ʻajāʼib. Dār al-Maʻārif, 1995", Pig | Queen of Hearts |Alice | Cheshire Cat,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4702848,"ʻAbd Allāh al-Kabīr, editor?",2019-09-18T15:11:17.356000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702848-1995_02/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702848-1995_02/pages,1995 or thereabouts,fedoraAdmin,false,4702848,Illustrator,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Alice and the Queen of Hearts,http://rightsstatements.org/page/InC-RUU/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:08.127000+00:00,"This version of Alice,  translated into Arabic, is part of the ""Green Library for Children"" series.  The illustrator is unknown, but Alice's adventure is depicted in a whimsical and colorful manner.  The cover shows a wide-eyed Alice with brown pigtails, standing with a young Queen of Hearts in a blue dress.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702848-1995_02/pages/page_0/files/f2/6b/5c/d4/f26b5cd4-1b82-4ce6-9c20-3e46423efe62|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-4702848-1995_02/pages/page_0/files/alice-4702848-1995_02.tif,
England,"Lewis Carroll. Through the Looking-Glass and What Alice Found There. Inky Parrot Press, 2015",Jabberwocky,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5289917,Angel Dominguez,2019-05-13T20:28:38.977000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5289917-2015_01/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5289917-2015_01/pages,2015,fedoraAdmin,false,5289917,Illustrator,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Warrior Alice with Jabberwock,http://rightsstatements.org/page/InC/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:24.531000+00:00,"Here Dominguez, a Spanish illustrator of children's books, presents a scene that does not, in fact, appear in the novel.  Alice, depicted as a warrior knight (similar to her portrayal by Mia Wasikowska in Tim Burton's 2010 Alice in Wonderland film), is confronting the Jabberwock, who here appears as something of a hybrid of a dragon and the Xenomorph from the Alien films.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5289917-2015_01/pages/page_0/files/alice-5289917-2015_01.jpg,
USA,"Lewis Carroll. Alice's Adventures in Wonderland and Through the Looking Glass & What Alice Found There (the Pennyroyal Editions). University of California Press, 1982-1983",Alice,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=2240750,Barry Moser,2019-09-18T16:22:33.196000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-2240750-1982_01/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-2240750-1982_01/pages,1982,fedoraAdmin,false,2240750,Illustrator,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",Touseled Alice,http://rightsstatements.org/page/InC/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:01:53.696000+00:00,"This simple rendering of Alice is from famed illustrator, book designer, and printmaker Moser, whose works also include illustrated versions of The Holy Bible, Moby Dick, Dracula, Frankenstein, The Wizard of Oz, and The Adventures of Huckleberry Finn.  Moser's edition of Alice won the 1983 National Book Award for Design and Illustration.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-2240750-1982_01/pages/page_0/files/9a/a5/ec/ec/9aa5ecec-fa57-44f4-becc-2e921cafdb33|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-2240750-1982_01/pages/page_0/files/alice-2240750-1982_01.tif,
England,"Lewis Carroll. Through the Looking Glass and What Alice Found There. Macmillan and Co., 1872", Looking-glass|Alice ,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5444629,Sir John Tenniel,2019-05-13T19:59:47.412000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5444629-1872_01/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5444629-1872_01/orderProxies,1872,fedoraAdmin,false,5444629,Public domain,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland","Alice passing through the Looking-glass, from the chapter ""Looking-Glass House"", Through the Looking Glass and What Alice Found There",http://rightsstatements.org/page/NoC-US/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:32.106000+00:00,"Through the Looking Glass, And What Alice Found There. Lewis Carroll. Macmillan and Company, 1872. Illustrated by Sir John Tenniel. First edition.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5444629-1872_01/pages/page_0/files/57/ab/75/05/57ab7505-ed32-4fb2-9b30-7cda04ed372f|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5444629-1872_01/pages/page_0/files/alice-5444629-1872_01.tif,
England,"Lewis Carroll. Alice's Adventures in Wonderland. Macmillan and Co., 1867", Pig|Alice ,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5694328,Sir John Tenniel,2019-05-13T20:18:15.827000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5694328-1867_01/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5694328-1867_01/orderProxies,1867,fedoraAdmin,false,5694328,Public domain,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland","From the chapter ""Pig and Pepper"", Alice's Adventures in Wonderland",http://rightsstatements.org/page/NoC-US/1.0/?language=en,Cushing Library. Children's Collection,2019-01-10T22:02:36.213000+00:00,"Alice’s Adventures in Wonderland. Lewis Carroll. Macmillan and Co, 1867. Illustrated by Sir John Tenniel. Second edition.",fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5694328-1867_01/pages/page_0/files/c9/d8/a2/fd/c9d8a2fd-6343-4b03-b5bf-e26640d735d4|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/alice_in_wonderland_objects/alice-5694328-1867_01/pages/page_0/files/alice-5694328-1867_01.tif,
