dc_format,fedora_hasParent,dcterms_created,fedora_created,tamudigital_local/details,dc_rights,dcterms_isPartOf,dcterms_spatial,fedora_writable,dc_abstract,dcterms_extent,fedora_lastModified,dc_subject,ldp_contains,dc_description,dcterms_type,dc_type,dc_title,fedora_lastModifiedBy,fedora_createdBy,files,dc_publisher,dc_creator
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1910?,2021-06-10T20:08:05.564000+00:00,Picture Files Bryan Early-1986 #9,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photograph of Bryan captured from an airplane. Downtown is shown roughly in the middle of the image.,1 postcard; 9 x 14 cm,2021-06-10T20:08:05.564000+00:00,Texas--Bryan|Aerial views,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/8/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Aerial photographs,"Airplane view of Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/8/pages/page_0/files/bryanscene9.tif,The Albertype Co.,"Adkission, Albert W."
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1920?,2021-06-10T20:07:51.210000+00:00,Picture Files Bryan Early-1986 #8,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photograph of Bryan captured from an airplane. Old courthouse shown roughly in the middle of the image with downtown just beyond it.,1 photograph;  9 x 15 cm,2021-06-10T20:07:51.210000+00:00,Aerial views|Texas--Bryan,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/7/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/7/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Aerial photographs,[Airplane view of Bryan],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/7/pages/page_0/files/bryanscene8.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1920?,2021-06-10T20:06:52.264000+00:00,Picture Files Bryan Early-1986 #48,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photograph of the A&M Kountry Store on Van Camp's Day.,1 photography; 20 x 25 cm,2021-06-10T20:06:52.264000+00:00,Texas--Bryan|General stores,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/25/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/25/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[A&M Country Store, Van Camps Day]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/25/pages/page_0/files/bryanscene48.tif,,Farmer-Waco
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1925?,2021-06-10T20:05:20.515000+00:00,Picture Files Bryan Early-1986 #25,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph of the residence of Nina Astin, built for her built by husband Roger Q. Astin, today known simply as the Astin Mansion. The mansion was designed by architect Hal B. Thompson.",1 photograph; 13 x 18 cm,2021-06-10T20:05:20.515000+00:00,"Homes|Texas--Bryan|Astin, R. Q.|Mansions|Astin, Nina",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/19/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/19/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[Residence of Mrs. R.Q. Astin],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/19/pages/page_0/files/bryanscene25.tif,,White Rose Studio and Gift Shop
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1935?,2021-06-10T20:03:54.530000+00:00,Picture Files Bryan Early-1986 #14,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Stephen F. Austin High School was located on Baker Street, Fannin Elementary sits on the site today.",1 postcard; 9 x 14 cm,2021-06-10T20:03:54.530000+00:00,"School buildings|Austin High School (Austin, Tex.)|Texas--Bryan",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/13/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/13/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Bryan High School, Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/13/pages/page_0/files/bryanscene14.tif,Auburn Post Card Mfg. Co.,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1940?,2021-06-10T20:03:40.160000+00:00,Picture Files Bryan Early-1986 #13,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Lamar Junior High School, formerly Stephen F. Austin High School until 1939, sat at the present day location of Fannin Elementary School (Baker Street).","1 postcard, color; 9 x 14 cm",2021-06-10T20:03:40.160000+00:00,Texas--Bryan|School buildings|Lamar Junior High School,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/12/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/12/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Lamar Junior High School, formerly Stephen F. Austin High School, Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/12/pages/page_0/files/bryanscene13.tif,E.C. Kropp Co.,Van Dyke Studio
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1927?,2021-06-10T20:06:35.933000+00:00,Picture Files Bryan Early-1986 #47,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph of St. Anthony's Catholic Church located at 401 S Parker Ave, Bryan, Texas.",1 photography; 20 x 25 cm,2021-06-10T20:06:35.933000+00:00,Texas--Bryan|Catholic church buildings|Church buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/24/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/24/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[St. Anthony's Catholic Church],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/24/pages/page_0/files/bryanscene34.tif,,White Rose Studio and Gift Shop
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1910?,2021-06-10T20:05:05.997000+00:00,Picture Files Bryan Early-1986 #24,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph of the First Christian Church, located at the corner of what is now 27th Street and Texas Avenue. The church was built in 1907 and burnt in 1925.",1 photograph; 12 x 18 cm,2021-06-10T20:05:05.997000+00:00,Christian Church (Disciples of Christ)|Texas--Bryan|Church buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/18/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/18/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[First Christian Church, Bryan, Texas]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/18/pages/page_0/files/bryanscene24.tif,,White Rose Studio and Gift Shop
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1923?,2021-06-10T20:02:41.629000+00:00,Picture Files Bryan Early-1986 #5,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph taken looking south on Main Street. The first building in the foreground of the image is the bank and midway down the block in the J.C. Penney Co. The LaSalle Hotel is at the far end of the street, next to the hotel is the Howell Bros. building.",1 photograph; 9 x 15 cm,2021-06-10T20:02:41.629000+00:00,Texas--Bryan|Central business districts,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/4/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/4/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[Main Street, Bryan, looking south]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/4/pages/page_0/files/bryanscene5.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1919,2021-06-10T20:02:27.231000+00:00,Picture Files Bryan Early-1986 #3,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,H.P. Boles Collection,"Bryan, Texas",false,"Hand colored postcard of downtown Bryan. Image includes a large number of wagons, utility poles, and the sign for the business ""Bell Bros Groceries.""",1 postcard colored; 9 x 14 cm,2021-06-10T20:02:27.231000+00:00,Texas--Bryan|Central business districts,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/3/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/3/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Main Street: Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/3/pages/page_0/files/bryanscene3.tif,Tyler Haswell,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1929?,2021-06-10T20:08:19.805000+00:00,Picture Files Bryan Early-1986 #10,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Postcard featuring the Bryan Municipal Building, with a park in the foreground and water tower in the background.","1 postcard, color; 9 x 14 cm",2021-06-10T20:08:19.805000+00:00,Parks|Texas--Bryan|Municipal buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/9/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/9/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Municipal Building and park, Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/9/pages/page_0/files/bryanscene10.tif,Brazos New Agency,E.C. Kropp Co.
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1900?,2021-06-10T20:05:48.620000+00:00,Picture Files Bryan Early-1986 #27,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photograph of unidentified building with a horse in the foreground and houses in the background. Building has two floors and an attic. Building is apparently made of rough hewed stone blocks and features a widow's watch.,1 photograph; 10 x 12 cm,2021-06-10T20:05:48.620000+00:00,Texas--Bryan|Stone buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/21/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/21/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[Unidentified building with with horse in foreground and houses in background],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/21/pages/page_0/files/bryanscene27.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1947?,2021-06-10T20:04:22.994000+00:00,Picture Files Bryan Early-1986 #18,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Horse-drawn vehicles|Bryan, Texas|Stone buildings",false,"In 1947 Hiller Funeral Home moved to 502 West 26th Street. They provided ambulance, service, and funeral insurance.","1 postcard, color; 9 x 14 cm",2021-06-10T20:04:22.994000+00:00,Texas--Bryan|Funeral homes,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/15/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/15/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,Hilliers Funeral Home,fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/15/pages/page_0/files/bryanscene18.tif,Nationwide Post Card Co.,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1922?,2021-06-10T20:07:22.830000+00:00,Picture Files Bryan Early-1986 #50,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photograph taken looking west down Main Street.,1 photograph; 8 x 12 cm,2021-06-10T20:07:22.830000+00:00,Texas--Bryan|Central business districts,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/27/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/27/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[Main Street, Bryan, Looking west]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/27/pages/page_0/files/bryanscene50.tif,,
