dc_subject,ldp_contains,dcterms_type,dc_creator,dc_rights,dc_language,dcterms_abstract,fedora_lastModifiedBy,fedora_writable,dc_title,fedora_created,dc_format,dc_description,fedora_lastModified,fedora_createdBy,fedora_hasParent,files,dcterms_created,dc_type,dcterms_coverage,dc_contributor
"Blumberg, Stephen Carrie|Collectibles|Bookplates|Book thefts",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/2/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/2/orderProxies,StillImage,"Blumberg, Stephen Carrie",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Collection of bookplates removed from books stolen by Stephen C. Blumberg prior to 1991.,fedoraAdmin,false,Scrapbook of Stolen Bookplates. Volume One.,2022-11-09T21:44:44.117000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:44:44.117000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/2/pages/page_0/files/Blumberg-Bookplates-Volume-one.pdf,,,,
"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/24/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/24/orderProxies,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Worklog documenting daily wordcount between late 1991 and early 1992.,fedoraAdmin,false,Worklog,2022-11-09T21:45:58.472000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:58.472000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/24/pages/page_0/files/Worklog-1991-92.pdf,1992-03-31,,,
"Manuscripts|Gentle madness (Basbanes, Nicholas A., 1943- )",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/19/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/19/pages,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"An early prospectus for A Gentle Madness, bearing the subtitle, ""Books and Book Collectors Past and Present.""",fedoraAdmin,false,Early Prospectus for A Gentle Madness,2022-11-09T21:45:29.441000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:29.441000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/19/pages/page_0/files/AGM-prospectus.pdf,1989?,Prospectuses,,
"Booksellers and bookselling|Collectibles|Book thefts|Librarians|Blumberg, Stephen Carrie",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/18/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/18/orderProxies,Text,,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"Copy of ""Notification to Librarian or Bookseller"" which convicted book thief Blumberg was required to show upon entry to any library or book store. Given to Basbanes by bookseller Robert Hayman.",fedoraAdmin,false,Notification to Librarian or Bookseller,2022-11-09T21:45:16.372000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:16.372000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/18/pages/page_0/files/blumberg-notification.pdf,1995?,,,
"Homes|Pictorial works|Blumberg, Stephen Carrie|Collectibles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/9/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/9/orderProxies,StillImage,"Blumberg, Stephen Carrie",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,,"Linocut print depicting Stephen Blumberg's home in Ottumwa, Iowa, inscribed to Nicholas A. Basbanes.",fedoraAdmin,false,Linocut print inscribed to Nicholas A. Basbanes.,2022-11-09T21:46:25.684000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:46:25.684000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/9/pages/page_0/files/blumberg-linocut.jpg,1991?,art reproduction|linocuts (prints),Iowa--Ottumwa,
"Manuscripts|Gentle madness (Basbanes, Nicholas A., 1943- )",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/23/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/23/pages,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"An early proposal for the book that would become A Gentle Madness given to Marc Jaffe, an editor at Houghton Mifflin Co., November 29, 1988.",fedoraAdmin,false,"Early Proposal for Marc Jaffee, 1988",2022-11-09T21:45:53.704000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:53.704000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/23/pages/page_0/files/Early-proposal.pdf,1988-11-29,,,
"Thieves|Christmas cards|Hayman, Robert|Blumberg, Stephen Carrie|Book collectors",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/17/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/17/pages,StillImage,"Blumberg, Stephen Carrie",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"Holiday card sent to bookseller Robert Hayman by book thief Stephen C. Blumberg, 1995.",fedoraAdmin,false,Holiday card sent to Robert Hayman by Stephen C. Blumberg,2022-11-09T21:45:21.648000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:21.648000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/17/pages/page_0/files/blumberg-holiday%20card.pdf,1995,Greeting cards|Personal correspondence,,
"Basbanes, Nicholas A., 1943-|Thieves|Letters|Blumberg, Stephen Carrie|Book collectors|Bibliomania",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/8/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/8/orderProxies,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Copy of letter to Stephen C. Blumberg from Nicholas A. Basbanes.,fedoraAdmin,false,Basbanes letter to Blumberg,2022-11-09T21:46:22.597000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:46:22.597000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/8/pages/page_0/files/blumberg-letter.pdf,1993-12-20,Business correspondence,,
American Antiquarian Society|Book collecting|Book collectors|Lectures,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/16/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/16/pages,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"Typescript and lecture notes for Basbanes's lecture delivered to the American Antiquarian Society and Hellenic Arts Society, October 28, 1995.",fedoraAdmin,false,Typescript of lecture to American Antiquarian Society,2022-11-09T21:45:21.031000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:21.031000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/16/pages/page_0/files/Basbanes-AAS%20talk.pdf,1995,Lectures,,
"Blumberg, Stephen Carrie|Book collectors|Thieves|Portraits",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/7/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/7/pages,StillImage,"Basbanes, Nicholas A., 1943-",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,,"Image of Stephen C. Blumberg posing with a book outside a storage warehouse photographed by Nicholas A. Basbanes during his visit to Ottumwa, IA with Blumberg shortly before the latter was sentenced for stealing more than 23,600 rare, valuable and assorted other books from 268 or more universities and museums in 45 states, two Canadian provinces, and Washington, D.C",fedoraAdmin,false,Photograph of Stephen C. Blumberg outside storage warehouse.,2022-11-09T21:46:20.566000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:46:20.566000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/7/pages/page_0/files/blumberg-photograph%202.jpg,1991,Portraits|Photographs,Iowa--Ottumwa,
"Blumberg, Stephen Carrie|Thieves|Book collectors|Portraits",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/6/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/6/orderProxies,StillImage,"Basbanes, Nicholas A., 1943-",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,,"Photograph of Stephen C. Blumberg inspecting ""Upland Game Birds and Water Fowl of the United States"" taken by Nicholas A. Basbanes during his visit to Ottumwa, IA with Blumberg shortly before the latter was sentenced for stealing more than 23,600 rare, valuable and assorted other books from 268 or more universities and museums in 45 states, two Canadian provinces, and Washington, D.C",fedoraAdmin,false,Photograph of Stephen C. Blumberg with book.,2022-11-09T21:46:19.884000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:46:19.884000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/6/pages/page_0/files/blumberg-photograph%201.jpg,1991,Photographs|Portraits,Iowa--Ottumwa,
Grolier Club|Book collecting|Book collectors|Booksellers and bookselling|Lectures,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/15/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/15/pages,Text,"Basbanes, Nicholas A., 1943-",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,"Annotated typescript of Basbanes's lecture, ""Brandy for Heroes,"" delivered as part of the Grolier Club's ""The Collector & the Bookseller: Fellowship of the Book"" symposium, April 19, 1995.",fedoraAdmin,false,Annotated typescript draft of lecture to Grolier Club,2022-11-09T21:45:32.046000+00:00,reformatted digital,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",2022-11-09T21:45:32.046000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts_objects/15/pages/page_0/files/Basbanes-Grolier%20talk.pdf,1995,Lectures,,
