dc_subject:lcc,ldp_contains,dc_contributor,fedora_writable,dcterms_issued,dcterms_type,dc_language,dc_subject,dcterms_spatial,dc_description,fedora_lastModified,fedora_created,dc_title,fedora_hasParent,dc_format,dc_identifier,fedora_lastModifiedBy,dc_creator,fedora_createdBy,dc_rights,files,tamudigital_local/coordinates,dcterms_lcc
KGF646 A28 1712z,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/45/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/45/pages,"Mendoza, Antonio de--approximately 1492-1552|Mexico City (Mexico)--Ayuntamiento.|Montilla, Juan--active 16th century",false,1536,Text,spa,Civil Engineering--New Spain--18th Century--Manuscripts--|Surveying--Law and Legislation--New Spain--Manuscripts|Manuscripts--Mexico--18th Century--Specimens|Surveying--New Spain--Manuscripts,New Spain|Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas..|Date of object determined by library to be 1536.",2022-12-20T16:54:26.469000+00:00,2022-12-20T16:54:26.469000+00:00,"Ordenanz.s y forma de medir tieras : Reximen para medir suertes de tierras, sitios, criader.s de ganados may.s y menor.s y Haciendas. Copia de las Ordenanzas",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,6456042,fedoraAdmin,New Spain--Viceroy (1535-1551 : Mendoza),fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/45/pages/page_0/files/6456042_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/45/pages/page_1/files/6456042_2.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/45/pages/page_2/files/6456042_3.tif,,
G4410 1835 .F56,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/49/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/49/orderProxies,,false,1835,StillImage,eng,Mexico--fast|Mexico--Maps|Texas--Maps|Maps--fast|Guatemala--Maps|Southwestern States--Maps|Maps--lcgft|Gautemala--fast|Central America--Maps,Guatemala|Mexico|Southwestern States|Texas|Central America,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:38:04.172000+00:00,2022-12-14T15:38:04.172000+00:00,Mexico & Guatemala,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6495234,fedoraAdmin,"Findlay, Alexander George, 1812-1875",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/49/pages/page_0/files/6495234.tif,(W 128°--W 72°/N 40°--N 8°),
G4031.A6 1948 .S7,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/62/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/62/pages,"Randolph, John",false,1948,Text|StillImage,eng,Texas--Maps|North America--Maps|Texas--Humor--Maps,North America|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:36:56.038000+00:00,2022-12-16T15:36:56.038000+00:00,Official Texas Brags map of North America,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,,fedoraAdmin,"Storm, Mark",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/62/pages/page_0/files/5966109.tif,(W 169°09ʹ00ʺ--W 13°03ʹ00ʺ/N 71°36ʹ00ʺ--N 5°50ʹ00ʺ),
,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/66/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/66/orderProxies,"Imray, James",false,1842,StillImage,eng,,,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T19:18:09.971000+00:00,2022-12-20T19:18:09.971000+00:00,"Chart of the Gulf of Mexico with the Gulf of Florida, Belize. Drawn from the latest English and Spanish Surveys.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,"Blachford, Michael",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/66/pages/page_0/files/IMRAY_East.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/66/pages/page_1/files/IMRAY_West.tif,,
G4410 1826 .L5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/46/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/46/orderProxies,,false,1826-1832,StillImage,eng,Central America|Central America--Maps|Mexico--Maps|Mexico--fast|Texas--Maps|Mines and mineral resources--Mexico--Maps|Guatemala--Maps|Cities and Towns--Mexico--Maps|Maps,Central America|Guatemala|Mexico|Texas,"Date of object estimated by library to be between 1826 and 1832|Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:38:07.861000+00:00,2022-12-14T15:38:07.861000+00:00,Mexico & Guatimala,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6495229,fedoraAdmin,"Lizars, Daniel, 1760-1812",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/46/pages/page_0/files/6495229.tif,(W 116°--W 80°/N 38°--N 10°),
E166 .W72 1850,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/4/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/4/pages,,false,1850,Text|StillImage,eng,United States--Guidebooks|Southern States--Description and travel--Guidebooks,"United States|Southwest, New|West (U.S.)","Held in the Rare Books Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T21:03:21.013000+00:00,2022-12-20T21:03:21.013000+00:00,"Appletons' southern and western travellers' guide : with new and authentic maps, illustrating those divisions of the country, and containing sectional maps of the Mississippi and Ohio rivers, with plans of cities, views,etc...",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,527384,fedoraAdmin,"Williams, W. (Wellington)",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/4/pages/page_0/files/527384_1.tif,,
G3300 1846 .L3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/31/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/31/orderProxies,"Combette, A.|Laguillermie, Frederic|Bonheur, Raimond",false,1846,StillImage,fre,"Texas--History--Republic, 1836-1846--Maps|Texas--Maps.|North America--Maps",North America|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:31:08.808000+00:00,2022-12-16T15:31:08.808000+00:00,Amérique Septentrionale,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966668,fedoraAdmin,"Laguillermie, Frederic",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/31/pages/page_0/files/5966668.tif,(W 165°--W 15°/N 70°--S 0°),
G3300 .H6 1716,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/18/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/18/orderProxies,Homann Erben,false,1716-1737,StillImage,lat,New Spain--Maps--Early works to 1800|North America--Maps--Early works to 1800,North America|New Spain,"Date of object estimated by library to be between 1716 and 1737.|Held in the Colonial Mexican Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T15:43:22.894000+00:00,2022-12-20T15:43:22.894000+00:00,"Regni Mexicani seu Novae Hispaniae, Ludovicianae, N. Angliae, Carolinae, Virginiae et Pensylvaniae necnon insularum archipelagi Mexicani in America Septentrionali",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,3968647,fedoraAdmin,"Homann, Johann Baptist, 1663-1724",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/18/pages/page_0/files/3968647.tif,(W 110°--W 55°/N 45°--N 8°),
F389 .H73 1833,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/19/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/19/pages,,false,1833,Text|StillImage,eng,Texas--History--To 1846|Texas--Description and travel,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:29:17.997000+00:00,2022-12-16T15:29:17.997000+00:00,"Texas: observations, historical, geographical and descriptive : in a series of letters, written during a visit to Austin's colony, with a view to a permanent settlement in that country, in the Autumn of 1831",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,4899198,fedoraAdmin,"Holley, Mary Austin, 1784-1846",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/19/pages/page_0/files/4899198_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/19/pages/page_1/files/4899198_2.tif,,
G4030 1873 .C62,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/12/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/12/orderProxies,,false,1873,StillImage,eng,Texas--Maps,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1873.",2022-12-16T16:50:43.963000+00:00,2022-12-16T16:50:43.963000+00:00,Colton's Texas,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,1607542,fedoraAdmin,G.W. & C.B. Colton & Co.,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/12/pages/page_0/files/1607542_a.tif,(W 107°--W 93°/N 40°--N 26°),
TA544 .S35 1797,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages,"Tarelo, Joseph Antonio",false,1797,SillImage|Text,spa,"Poems - Mexico - 18th century|Surveying--New Spain--Early works to 1800|Satires - Mexico - 18th century|New Spain - Miscellanea|Area measurement--Early works to 1800|Formulas, recipes, etc. - New Spain - Early works to 1800 - Scientific apparatus and instruments - Early works to 1800|Land use - New Spain - Early works to 1800|Manuscripts - Mexico - 18th century - Specimens",New Spain,"Held in the Colonial Mexican Collection of Cushing Memorial Library & Archives on the campus of Texas A&M University, in College Station, TX.",2022-12-20T16:21:00.823000+00:00,2022-12-20T16:21:00.823000+00:00,"Libro mui curioso en que seda noticia, y se explica claramente el modo de observar y lo que deve hacer el Medidor antes de la vista de Ojos y su medida El qual Libro sirve para el uso, y recreo honesto de el S.or Dn. Joseph Antonio Tarelo. Por la gracia de Dios. Labrador-climaterico, y mui inteligente en todas Facultades",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5346726,fedoraAdmin,"Santos Zerezo, Joseph de los",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_0/files/5346726_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_1/files/5346726_2.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_2/files/5346726_3.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_3/files/5346726_4.tif,,
G1541.P5 S7 1809,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/orderProxies,,false,1809,StillImage,spa,Harbors--Caribbean Area--Maps,Caribbean Area,"Held in the Colonial Mexican Collection of Cushing Memorial Library & Archives on the campus of Texas A&M University, in College Station, TX.",2022-12-14T15:30:34.484000+00:00,2022-12-14T15:30:34.484000+00:00,Portulano de la America Setentrional: dividido en quatro partes,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5838372,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages/page_0/files/5838372_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages/page_1/files/5838372_2.tif,,
G4031.C5 1849 .R6,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/orderProxies,"Marcus, Adolph|Henry & Cohen.",false,1849,StillImage,ger,Geology--Texas--Maps|Texas--Maps|Land Grants--Texas--Maps|Indians of North America--Texas--Maps|Indians of North America--fast|Land grants--fast|Cross Timbers (Okla. and Tex.)--Maps,Cross Timbers (Okla. and Tex.|United States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object determined by library to be 1849.",2022-12-16T15:33:14.287000+00:00,2022-12-16T15:33:14.287000+00:00,Topographisch-geognostische Karte von Texas : mit Zugrundelegung der geographischen Karte v. Wilson nach eigenen Beobachtungen bearbeitet,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004381467,fedoraAdmin,"Roemer, Ferdinand, 1818-1891",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/pages/page_0/files/00004381467.tif,(W 102°--W 93°/N 35°--N 26°),
G4030 1846 .M57,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/pages,,false,1846,StillImage,eng,Texas--Boundaries--Maps|Indians of North America--Texas--Maps|Mines and mineral resources--Texas--Maps|Counties--Texas--Maps|Cities and towns--Texas--Maps|Battlefields--Texas--Maps|Indian Territory--Maps|Roads--Texas--Maps|Texas--Maps,Indian Territory|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:26:51.563000+00:00,2022-12-14T15:26:51.563000+00:00,Map of the state of Texas: engraved to illustrate Mitchell's school and family geography,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,1648288,fedoraAdmin,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/pages/page_0/files/1648288.tif,(W 107°--W 93°/N 40°--N 26°),
G3300 1845 .D8,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/orderProxies,"George|Smith, Ch.",false,1845,StillImage,fre,"Guatemala--Maps|Texas--History--Republic, 1836-1846--Maps|Mexico--Maps|Texas--Maps",Texas|Guatemala|Mexico,"Date of object estimated by library to be 1845.|Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas..",2022-12-14T15:37:01.634000+00:00,2022-12-14T15:37:01.634000+00:00,Méxique,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6419992,fedoraAdmin,"Duvotenay, Th. (Thunot), 1796-1875",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/pages/page_0/files/6419992.tif,(W 124°48ʹ00ʺ--W 85°15ʹ00ʺ/N 43°39ʹ00ʺ--N 13°30ʹ00ʺ),
G3292.N4 1779 .A5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/orderProxies,"Santini, P.|Remondini",false,1779,StillImage,fre,"Florida--Maps|Mexico, Gulf of--Maps|Early maps|New Spain--Maps|Texas--Maps","Mexico, Gulf of|Texas|New Spain|Florida","Held in the Mary and Mavis P. Kelsey Americana Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:34:12.799000+00:00,2022-12-16T15:34:12.799000+00:00,Carte du Mexique et de la Nouvelle Espagne: contenant la partie australe de l'Amérique Septentle,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004563018,fedoraAdmin,"Anville, Jean Baptiste Bourguignon d', 1697-1782",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/pages/page_0/files/00004563018.tif,(W 118°35ʹ00ʺ--W 79°04ʹ00ʺ/N 32°43ʹ00ʺ--N 7°00ʹ00ʺ),
