dc_subject:lcc,ldp_contains,dc_contributor,fedora_writable,dcterms_issued,dcterms_type,dc_language,dc_subject,dcterms_spatial,dc_description,fedora_lastModified,fedora_created,dc_title,fedora_hasParent,dc_format,dc_identifier,fedora_lastModifiedBy,dc_creator,fedora_createdBy,dc_rights,files,tamudigital_local/coordinates,dcterms_lcc
TA151 .T77 1886,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/17/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/17/orderProxies,"Trautwine, John C. (John Cresson), 1850-1924, editor.",false,1886,Text,eng,"Civil Engineering--Handbooks--manuals, etc.",,"Held in the Rare Books Collection of the Cushing Memorial Library & Archives at Texas A&M University, in College Station, TX.",2022-12-14T15:27:32.517000+00:00,2022-12-14T15:27:32.517000+00:00,"The civil engineers's pocket-book, of mensuration, trigonometry, surveying, hydraulics ... [etc.]: in addition to which the elucidation of certain important principles of construction is made in a more simple manner than heretofore",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,3106095,fedoraAdmin,"Trautwine, John C. (John Cresson), 1810-1883.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/17/pages/page_0/files/3106095_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/17/pages/page_1/files/3106095_2.tif,,
UG470 .R46 1850,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/3/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/3/orderProxies,"Johnston, J. E.",false,1850,Text|StillImage,eng,Military Topography--New Mexico|New Mexico--Description and Travel|Military Topography--Texas|Texas--Description and Travel,Texas|New Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:25:17.349000+00:00,2022-12-14T15:25:17.349000+00:00,Holdings: Reports of the Secretary of War: with reconnaissance of routes from San Antonio to El Paso.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,444582,fedoraAdmin,United States. Congress,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/3/pages/page_0/files/444582_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/3/pages/page_1/files/444582_2.tif,,
F390.K36 1841,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/50/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/50/orderProxies,R. Hastings,false,1841,Text|StillImage,eng,Texas--Description and travel|Texas--History--to 1846,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:33:58.293000+00:00,2022-12-16T15:33:58.293000+00:00,"Texas: the rise, progress, and prospects of the Republic of Texas",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,in00001120788,fedoraAdmin,"Kennedy, William, 1799-1871",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/50/pages/page_0/files/TN27941_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/50/pages/page_1/files/TN27941_2.tif,,
G3300 1845 .L3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/30/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/30/orderProxies,"Pelissier, H.G.|Bonheur, Raimond|Lemercier, Alfred|Levasseur, V.|Laguillermie, Frederic",false,1845,StillImage,fre,"Texas--History--Republic, 1836-1846--Maps|Flora and fauna--Illustrations--Maps|North America|Texas--Maps|North America--Maps",Texas|North America,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:31:03.617000+00:00,2022-12-16T15:31:03.617000+00:00,Amérique Septentrionale,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966108,fedoraAdmin,"Laguillermie, Frederic",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/30/pages/page_0/files/5966108.tif,(W 165°--W 15°/N 70°--S 0°),
F390 .S85,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/7/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/7/orderProxies,,false,1840,Text|StillImage,eng,Texas--History--Since 1846|Texas--Description and Travel,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:25:48.678000+00:00,2022-12-14T15:25:48.678000+00:00,"The Texan emigrant: being a narration of the adventures of the author in Texas, and a description of the soil, climate, productions, minerals",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,778454,fedoraAdmin,"Stiff, Edward",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/7/pages/page_0/files/778454_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/7/pages/page_1/files/778454_2.tif,,
G4030 1874 .R6,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/54/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/54/orderProxies,"Mittendorfer, M. V",false,1874,StillImage,eng,Soils--Texas--19th century--Maps|United States--Territories and possessions--19th century--Maps|Texas--19th century--Maps|Southwestern States--19th century--Maps,United States|Southwestern States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T17:48:42.861000+00:00,2022-12-20T17:48:42.861000+00:00,"A.R. Roessler's latest map of the state of Texas : exhibiting mineral and agricultural districts, post offices & mailroutes [sic], railroads projected and finished, timber, prairie, swamp lands, etc. etc. etc.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004548975,fedoraAdmin,"Roessler, A. R.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/54/pages/page_0/files/TN27938.tif,(W 107°15ʹ--W 93°15ʹ/N 36°15ʹ--N 25°30ʹ)|(W 107°45ʹ--W 92°30ʹ/N 37°00ʹ--N 25°45ʹ),
G4051.P25 1850 .M3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/38/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/38/orderProxies,,false,1850,StillImage,eng,New Mexico--Maps|Oklahoma--Maps|Texas--Maps|Arkansas--Maps,Arkansas|Oklahoma|Texas|New Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:46:20.072000+00:00,2022-12-20T16:46:20.072000+00:00,"Topographical Map of the Road From Fort Smith, Arks. to Santa Fe, N.M. and from Donna Ana N.M. to Fort Smith: made by the order of Bvt. Grig Gen. M. Arbuckles, U.S.A. by Capt. R.B. Macy, 5th U.S. Inf.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5966676,fedoraAdmin,"Macy, R.B.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/38/pages/page_0/files/5966676.tif,(W 110°--W 93°/N 37°--N 34°),
F389 .G33 1830,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/20/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/20/orderProxies,"Dey, Anthony|Burnet, David, G. (David Gouverneur), 1877-1870|Curtis, George, 1799-1884|Sumner, William H. (William Hyslop), 1780-1861|Vehlein, Joseph|Zavala, Lorezno de, 1788-1836",false,1830,StillImage,eng,"Land Grants--Texas, East--History--19th Century|Texas--History to 1846.|Real Property--Texas, East--History--19th Century|Land companies--Texas, East--History--19th Century","Texas, East|Texas","Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:28:31.981000+00:00,2022-12-14T15:28:31.981000+00:00,Galveston Bay and Texas Land Company,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,4980806,fedoraAdmin,"Galveston Bay & Texas Land Company. this certifies that the subscribers as the trustees and attorneys of Lorenzo de Zavala, Joseph Vehlein and David G. Burnet, have given and do hereby give to Anthony Dey and his legal representatives the bearer hereof, their consent to the location of, and holding in severalty, one labor of land within the limits of four adjoining tracts of land in Texas ... No. 5549, 177 136/1000 acres",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/20/pages/page_0/files/4980806_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/20/pages/page_1/files/4980806_2.tif,,
G4410 1717 .M6,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/34/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/34/orderProxies,,false,1717,StillImage,eng,Mexico--Maps--Early works to 1800|New Spain--Maps--Early works to 1800,Mexico|New Spain,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:34:54.868000+00:00,2022-12-14T15:34:54.868000+00:00,"A map of Mexico or New Spain, Florida now called Louisiana and part of California & c",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5966671,fedoraAdmin,"Moll, Herman, -1732",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/34/pages/page_0/files/5966671.tif,(W 120°--W 80°/N 35°--N 5°),
G4030 1840 .C7,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/24/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/24/pages,,false,1840,StillImage,fre,Central America--Maps--19th century|Texas--Maps--19th century|Mexico--Maps|Texas--Maps|Mexico--Maps--19th century,Central America|Mexico|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:23:23.415000+00:00,2022-12-20T16:23:23.415000+00:00,"Nouvelle Carte du Mexique, Du Texas Et D'Une Partie Des Etats Limitrophes; Dediee a l'Academie Royale des Sciences de l Institut de France. Par A.H. Brue, Geographe du Roi, Membre de la common. centrale de la societe de Geographie de Paris, membre-honoraire de celle de Londres, & a. Revue et augmentee par Ch. Picquet, Geographe du Roi et du Due d'Orleans, Proprietaire des Cartes et Atlas de Brue, Quai Conti No. 17, pres de l'Institut. Paris, 1840. Publiee en 1834; Revue en 1837, 1839, 1840",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5828242,fedoraAdmin,"Bruâe, Adrien Hubert, 1786-1832",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/24/pages/page_0/files/5828242.tif,(W 122°---W 96°/N 44°--N 06°),
G4410 1848 .M3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/51/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/51/orderProxies,"Humboldt, Alexander, von, 1769-1859",false,1848,StillImage,ger,Mexico--Maps|Texas--Maps|Mexico City (Mexico)--Maps|North America--Maps|Indians of North America--Maps|Central America--Maps,Mexico City (Mexico)|Mexico|North America|Texas|Central America,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1848.",2022-12-14T15:38:21.947000+00:00,2022-12-14T15:38:21.947000+00:00,Mexico,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004363373,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/51/pages/page_0/files/00004363373.tif,(W 127°54ʹ00ʺ--W 80°58ʹ00ʺ/N 41°59ʹ00ʺ--N 14°17ʹ00ʺ),
F390 .U416 1837,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/9/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/9/orderProxies,"Forsyth, John 1780-1841|Hunt, Memucan, 1807-1856",false,1837,Text,eng,Texas--Annexation to the United States,Texas,"Date of object determined by library to be 1837.|Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:26:01.885000+00:00,2022-12-14T15:26:01.885000+00:00,"Annexation of Texas to the United States: Message from the President of the United States, in compliance with a resolution of the House of Representatives of the 13th instant, respecting an annexation of Texas to the United States.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,1125894,fedoraAdmin,United States - Department of State.,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/9/pages/page_0/files/1125894.tif,,
G3300 1845 .D88,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/55/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/55/pages,"Antonelli, Giuseppe,--1793-1861|La Renaudière, Philippe François de,--1781-1845",false,1845,StillImage,ita,"Texas--History--Republic, 1836-1846--Maps|Mexico--Maps|Texas--Maps|Guatemala--Maps",Guatemala|Mexico|Texas,"Held in the Mary and Mavis P. Kelsey Americana Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:39:35.098000+00:00,2022-12-14T15:39:35.098000+00:00,Messico e Guatimala,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004563015,fedoraAdmin,"Duvotenay, Th. (Thunot), 1796-1875",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/55/pages/page_0/files/00004563015.tif,(W 135°--W 75°/N 45°--N 10°),
G4410 1795 .K5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/35/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/35/orderProxies,"Robertson, William",false,1795,StillImage,eng,Southwestern States--Historical geography--Maps|Mexico--Maps|Mexico City (Mexico)--Maps|Mexico--Mexico City|Discoveries in geography|Mexico--Discovery and exploration--Maps,Mexico City|Mexico|Southwestern States,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:30:59.282000+00:00,2022-12-16T15:30:59.282000+00:00,Mexico or New Spain: in which the motions of Cortes may be traced,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966672,fedoraAdmin,"Kitchin, Thomas, 1718-1784",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/35/pages/page_0/files/5966672.tif,(W 127°11ʹ00ʺ--W 86°09ʹ00ʺ/N 43°15ʹ00ʺ--N 16°27ʹ00ʺ),
G4030 1908 .A5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/61/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/61/pages,"American Farm Lands Assn.,",false,1908,StillImage|Text,eng,Real property--Texas--Texas Panhandle--Maps.|Real property--Texas--Sherman County--Maps,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T16:57:08.624000+00:00,2022-12-16T16:57:08.624000+00:00,"Map of Texas : get a nice, choice level farm in Sherman County, Texas, no money down, no interest, no brokerage, no taxes.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,Kenyon Company,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/61/pages/page_0/files/4766751.tif,,
G4031.E27 1847 .F3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/41/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/41/pages,"Solms-Braunfels, Carl",false,1847,StillImage,ger,Texas--Emigration and immigration--Maps|Germany--Colonization--Texas--Maps|Texas--Maps|Adelsverein--Maps,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:36:57.627000+00:00,2022-12-14T15:36:57.627000+00:00,Texas: eine geographische Skizze bearbeitet nach Berghaus Länderkunde und den neuesten Forschungen des Prinzen Carl zu Solms Braunfels und anderer Reisenden,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6336467,fedoraAdmin,"Farmer, Walter",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/41/pages/page_0/files/6336467.tif,,
F389 .G33 1835,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/65/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/65/orderProxies,"Zavala, Lorenzo de|Whitney, Stephen|Burney, David G.|Griswold, George|Dey, Anthony|Curtis, George|Vehlein, Joseph|Sumner, William",false,1835,Text|StillImage,eng,Land grants|Texas--Description and travel|Texas --History|Land grants--Texas|Land companies,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:42:12.427000+00:00,2022-12-14T15:42:12.427000+00:00,The Galveston Bay and Texas Land Company.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,Galveston Bay and Texas Land Company.,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/65/pages/page_0/files/GalBay.tif,,
G1100.C64 1856,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/16/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/16/pages,"Fisher, Richard Swainson",false,1856,StillImage,eng,America--Maps,America,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:27:41.469000+00:00,2022-12-14T15:27:41.469000+00:00,Colton's atlas of America: illustrating the physical and political geography of North and South America and the West India islands,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,2833020,fedoraAdmin,"Colton, G. Woolworth, (George Woolworth), 1827-1901",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/16/pages/page_0/files/2833020_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/16/pages/page_1/files/2833020_2.tif,,
