dc_subject,dcterms_created,ldp_contains,fedora_hasParent,dcterms_spatial,dcterms_type,fedora_lastModified,dc_rights,fedora_createdBy,fedora_created,dc_contributor,fedora_lastModifiedBy,dc_publisher,dc_title,fedora_writable,dc_format,files
Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works,2012,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/33/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/33/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:10:29.216000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:10:29.216000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2012, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/33/pages/page_0/files/COMClass2012.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,2010,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/31/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/31/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:10:02.083000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:10:02.083000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2010, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/31/pages/page_0/files/COMClass2010.jpg
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,2007,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/28/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/28/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:09:07.847000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:09:07.847000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2007, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/28/pages/page_0/files/COMClass2007.jpg
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,1997,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/18/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/18/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:06:38.621000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:06:38.621000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1997, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/18/pages/page_0/files/COMClass1997.jpg
Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works,1995,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/16/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/16/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:06:11.240000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:06:11.240000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1995, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/16/pages/page_0/files/COMClass1995.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,1984,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/5/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/5/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),StillImage|Portraits|Photographs,2020-11-20T17:11:23.535000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:11:23.535000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1984, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/5/pages/page_0/files/COMClass1984.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,1994,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/15/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/15/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:05:57.480000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:05:57.480000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1994, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/15/pages/page_0/files/COMClass1994.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,1983,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/4/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/4/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:11:09.934000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:11:09.934000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1983, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/4/pages/page_0/files/COMClass1983.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,1992,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/13/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/13/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:05:29.633000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:05:29.633000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1992, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/13/pages/page_0/files/COMClass1992.jpg
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,1981,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/2/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/2/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:07:05.734000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:07:05.734000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1981, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/2/pages/page_0/files/COMClass1981.jpg
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,2000,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:07:32.834000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:07:32.834000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2000, Texas A&M University System Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/pages/page_0/files/COMClass2000.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,1988,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:12:17.512000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:12:17.512000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1988, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/pages/page_0/files/COMClass1988.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,1987,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,Photographs|StillImage|Portraits,2020-11-20T17:12:04.003000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:12:04.003000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1987, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/pages/page_0/files/COMClass1987.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,2011,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:10:15.639000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:10:15.639000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2011, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/pages/page_0/files/COMClass2011.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,2008,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:09:21.532000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:09:21.532000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2008, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/pages/page_0/files/COMClass2008.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,2009,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:09:48.544000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:09:48.544000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2009, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/pages/page_0/files/COMClass2009.jpg
