ldp_contains,fedora_hasParent,fedora_created,fedora_createdBy,dc_title,fedora_lastModifiedBy,fedora_lastModified,fedora_writable,files
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/47/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/47/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:13.317000+00:00,fedoraAdmin,3544065924_ebd9e3f7ba_o.jpg,fedoraAdmin,2025-08-04T20:23:13.317000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/47/pages/page_0/files/3544065924_ebd9e3f7ba_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/27/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/27/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:07.617000+00:00,fedoraAdmin,Austin Hall 17.tif,fedoraAdmin,2025-08-04T20:22:07.617000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/27/pages/page_0/files/Austin%20Hall%2017.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/39/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/39/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:47.637000+00:00,fedoraAdmin,4113353330_a69a391ea3_o.jpg,fedoraAdmin,2025-08-04T20:22:47.637000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/39/pages/page_0/files/4113353330_a69a391ea3_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/11/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/11/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:21:24.840000+00:00,fedoraAdmin,Chapel 7.tif,fedoraAdmin,2025-08-04T20:21:24.840000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/11/pages/page_0/files/Chapel%207.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/13/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/13/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:21:28.184000+00:00,fedoraAdmin,Chapel 13.tif,fedoraAdmin,2025-08-04T20:21:28.184000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/13/pages/page_0/files/Chapel%2013.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/4/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/4/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:50.674000+00:00,fedoraAdmin,2841134900_ddb0d4bfab_o.jpg,fedoraAdmin,2025-08-04T20:22:50.674000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/4/pages/page_0/files/2841134900_ddb0d4bfab_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/8/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:24:28.011000+00:00,fedoraAdmin,12 Animal Industries.tif,fedoraAdmin,2025-08-04T20:24:28.011000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/8/pages/page_0/files/12%20Animal%20Industries.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/40/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/40/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:54.062000+00:00,fedoraAdmin,3542797466_5127e68a9f_o.jpg,fedoraAdmin,2025-08-04T20:22:54.062000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/40/pages/page_0/files/3542797466_5127e68a9f_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/32/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/32/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:25.488000+00:00,fedoraAdmin,4755106245_607573aeaa_o.jpg,fedoraAdmin,2025-08-04T20:22:25.488000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/32/pages/page_0/files/4755106245_607573aeaa_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/21/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/21/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:21:53.687000+00:00,fedoraAdmin,Austin Hall 3.tif,fedoraAdmin,2025-08-04T20:21:53.687000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/21/pages/page_0/files/Austin%20Hall%203.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/36/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/36/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:38.972000+00:00,fedoraAdmin,4789831797_b424833c7d_o.jpg,fedoraAdmin,2025-08-04T20:22:38.972000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/36/pages/page_0/files/4789831797_b424833c7d_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/16/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/16/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:21:34.131000+00:00,fedoraAdmin,Chapel 24.tif,fedoraAdmin,2025-08-04T20:21:34.131000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/16/pages/page_0/files/Chapel%2024.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/61/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/61/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:58.634000+00:00,fedoraAdmin,2898335229_22567b8e46_o.jpg,fedoraAdmin,2025-08-04T20:23:58.634000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/61/pages/page_0/files/2898335229_22567b8e46_o.jpg
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/2/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/2/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:21:48.741000+00:00,fedoraAdmin,Bell Tower 30.tif,fedoraAdmin,2025-08-04T20:21:48.741000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/2/pages/page_0/files/Bell%20Tower%2030.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/28/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/28/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:18.567000+00:00,fedoraAdmin,Austin Hall 19.tif,fedoraAdmin,2025-08-04T20:22:18.567000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/28/pages/page_0/files/Austin%20Hall%2019.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/68/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/68/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:24:18.619000+00:00,fedoraAdmin,CV G 275.tif,fedoraAdmin,2025-08-04T20:24:18.619000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/68/pages/page_0/files/CV%20G%20275.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/6/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/6/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:53.698000+00:00,fedoraAdmin,1 Animal Industries.tif,fedoraAdmin,2025-08-04T20:23:53.698000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/6/pages/page_0/files/1%20Animal%20Industries.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/70/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/70/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:24:25.565000+00:00,fedoraAdmin,CV ND 53.tif,fedoraAdmin,2025-08-04T20:24:25.565000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/70/pages/page_0/files/CV%20ND%2053.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/50/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/50/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:23.397000+00:00,fedoraAdmin,Academic Building 37.tif,fedoraAdmin,2025-08-04T20:23:23.397000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/50/pages/page_0/files/Academic%20Building%2037.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/55/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/55/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:41.494000+00:00,fedoraAdmin,Kyle Field 24.tif,fedoraAdmin,2025-08-04T20:23:41.494000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/55/pages/page_0/files/Kyle%20Field%2024.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/30/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/30/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:22:25.987000+00:00,fedoraAdmin,Austin Hall 21.tif,fedoraAdmin,2025-08-04T20:22:25.987000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/30/pages/page_0/files/Austin%20Hall%2021.tif
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/57/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/57/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects,2025-08-04T20:23:46.438000+00:00,fedoraAdmin,Kyle Field 119.tif,fedoraAdmin,2025-08-04T20:23:46.438000+00:00,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sesquicentennial_objects/57/pages/page_0/files/Kyle%20Field%20119.tif
